id,code,name
806,54599,RAGONVALIA,
807,54660,SALAZAR,
808,54670,SAN CALIXTO,
809,54673,SAN CAYETANO,
810,54680,SANTIAGO,
811,54720,SARDINATA,
812,54743,SILOS,
813,54800,TEORAMA,
814,54810,TIBÚ,
815,54820,TOLEDO,
816,54871,VILLA CARO,
817,54874,VILLA DEL ROSARIO,
818,63001,ARMENIA,
819,63111,BUENAVISTA,
820,63130,CALARCA,
821,63190,CIRCASIA,
822,63212,CÓRDOBA,
823,63272,FILANDIA,
824,63302,GÉNOVA,
825,63401,LA TEBAIDA,
826,63470,MONTENEGRO,
827,63548,PIJAO,
828,63594,QUIMBAYA,
829,63690,SALENTO,
830,66001,PEREIRA,
831,66045,APÍA,
832,66075,BALBOA,
833,66088,BELÉN DE UMBRÍA,
834,66170,DOSQUEBRADAS,
835,66318,GUÁTICA,
836,66383,LA CELIA,
837,66400,LA VIRGINIA,
838,66440,MARSELLA,
839,66456,MISTRATÓ,
840,66572,PUEBLO RICO,
841,66594,QUINCHÍA,
842,66682,SANTA ROSA DE CABAL,
843,66687,SANTUARIO,
844,68001,BUCARAMANGA,
845,68013,AGUADA,
846,68020,ALBANIA,
847,68051,ARATOCA,
848,68077,BARBOSA,
849,68079,BARICHARA,
850,68081,BARRANCABERMEJA,
851,68092,BETULIA,
852,68101,BOLÍVAR,
853,68121,CABRERA,
854,68132,CALIFORNIA,
855,68147,CAPITANEJO,
856,68152,CARCASÍ,
857,68160,CEPITÁ,
858,68162,CERRITO,
859,68167,CHARALÁ,
860,68169,CHARTA,
861,68176,CHIMA,
862,68179,CHIPATÁ,
863,68190,CIMITARRA,
864,68207,CONCEPCIÓN,
865,68209,CONFINES,
866,68211,CONTRATACIÓN,
867,68217,COROMORO,
868,68229,CURITÍ,
869,68235,EL CARMEN DE CHUCURÍ,
870,68245,EL GUACAMAYO,
871,68250,EL PEÑÓN,
872,68255,EL PLAYÓN,
873,68264,ENCINO,
874,68266,ENCISO,
875,68271,FLORIÁN,
876,68276,FLORIDABLANCA,
877,68296,GALÁN,
878,68298,GAMBITA,
879,68307,GIRÓN,
880,68318,GUACA,
881,68320,GUADALUPE,
882,68322,GUAPOTÁ,
883,68324,GUAVATÁ,
884,68327,GÜEPSA,
885,68344,HATO,
886,68368,JESÚS MARÍA,
887,68370,JORDÁN,
888,68377,LA BELLEZA,
889,68385,LANDÁZURI,
890,68397,LA PAZ,
891,68406,LEBRÍJA,
892,68418,LOS SANTOS,
893,68425,MACARAVITA,
894,68432,MÁLAGA,
895,68444,MATANZA,
896,68464,MOGOTES,
897,68468,MOLAGAVITA,
898,68498,OCAMONTE,
899,68500,OIBA,
900,68502,ONZAGA,
901,68522,PALMAR,
902,68524,PALMAS DEL SOCORRO,
903,68533,PÁRAMO,
904,68547,PIEDECUESTA,
905,68549,PINCHOTE,
906,68572,PUENTE NACIONAL,
907,68573,PUERTO PARRA,
908,68575,PUERTO WILCHES,
909,68615,RIONEGRO,
910,68655,SABANA DE TORRES,
911,68669,SAN ANDRÉS,
912,68673,SAN BENITO,
913,68679,SAN GIL,
914,68682,SAN JOAQUÍN,
915,68684,SAN JOSÉ DE MIRANDA,
916,68686,SAN MIGUEL,
917,68689,SAN VICENTE DE CHUCURÍ,
918,68705,SANTA BÁRBARA,
919,68720,SANTA HELENA DEL OPÓN,
920,68745,SIMACOTA,
921,68755,SOCORRO,
922,68770,SUAITA,
923,68773,SUCRE,
924,68780,SURATÁ,
925,68820,TONA,
926,68855,VALLE DE SAN JOSÉ,
927,68861,VÉLEZ,
928,68867,VETAS,
929,68872,VILLANUEVA,
930,68895,ZAPATOCA,
931,70001,SINCELEJO,
932,70110,BUENAVISTA,
933,70124,CAIMITO,
934,70204,COLOSO,
935,70215,COROZAL,
936,70221,COVEÑAS,
937,70230,CHALÁN,
